State,City,Borough,Zipcode,Latitude,Longitude,Location,num_calls
NY,GLEN OAKS,QUEENS,11004.0,40.7378916,-73.71046402,Club/Bar/Restaurant,44
NY,NEW YORK,MANHATTAN,10003.0,40.73683863,-73.98783593,Club/Bar/Restaurant,24
NY,JACKSON HEIGHTS,QUEENS,11372.0,40.74736158,-73.88645672,Club/Bar/Restaurant,24
NY,STATEN ISLAND,STATEN ISLAND,10310.0,40.6301397,-74.10879366,Club/Bar/Restaurant,53
NY,,BROOKLYN,11201.0,40.68598692,-73.99416238,Club/Bar/Restaurant,11
NY,NEW YORK,MANHATTAN,10001.0,40.7505438,-73.99836504,Club/Bar/Restaurant,10
NY,,BROOKLYN,11216.0,40.68282211,-73.93799942,Club/Bar/Restaurant,NaN
NY,NEW YORK,MANHATTAN,10014.0,40.73416286,-74.00798156,Club/Bar/Restaurant,57
NY,,BROOKLYN,11215.0,40.66046172,-73.98033486,Club/Bar/Restaurant,73
NY,NEW YORK,MANHATTAN,10016.0,40.7440955,-73.98561878,Club/Bar/Restaurant,38
NY,NEW YORK,MANHATTAN,10026.0,40.80452411,-73.95530368,Club/Bar/Restaurant,12
NY,,BROOKLYN,11232.0,40.65162237,-74.00447957,Club/Bar/Restaurant,17
NY,ASTORIA,QUEENS,11103.0,40.76527581,-73.91791611,Club/Bar/Restaurant,29
NY,STATEN ISLAND,STATEN ISLAND,10307.0,40.51358865,-74.25123739,Club/Bar/Restaurant,50
NY,NEW YORK,MANHATTAN,10002.0,40.72136411,-73.99266213,Club/Bar/Restaurant,78
NY,JAMAICA,QUEENS,11433.0,40.70753056,-73.78659995,Club/Bar/Restaurant,388
NY,NEW YORK,MANHATTAN,10040.0,40.85359837,-73.93061428,Club/Bar/Restaurant,18
NY,,BROOKLYN,11221.0,40.69940259,-73.92745325,Club/Bar/Restaurant,19
NY,NEW YORK,MANHATTAN,10034.0,40.86618344,-73.91893043,Club/Bar/Restaurant,87
NY,NEW YORK,MANHATTAN,10034.0,40.8692067,-73.9169743,Club/Bar/Restaurant,30
NY,ASTORIA,QUEENS,11102.0,40.76743782,-73.92062464,Club/Bar/Restaurant,112
NY,New York,MANHATTAN,10034.0,40.86592029,-73.92770907,Club/Bar/Restaurant,117
NY,,BROOKLYN,11211.0,40.71758787,-73.95731359,Club/Bar/Restaurant,38
NY,,BROOKLYN,11205.0,40.69058524,-73.95831169,Club/Bar/Restaurant,55
NY,,BROOKLYN,11219.0,40.63367687,-74.00656803,Club/Bar/Restaurant,14
NY,,BROOKLYN,11206.0,40.70547174,-73.94290878,Club/Bar/Restaurant,68
NY,,BROOKLYN,11225.0,40.66820407,-73.9506476,Club/Bar/Restaurant,146
NY,NEW YORK,MANHATTAN,10012.0,40.72974957,-73.99961394,Club/Bar/Restaurant,41
NY,RIDGEWOOD,QUEENS,11385.0,40.70342134,-73.90874124,Club/Bar/Restaurant,109
NY,NEW YORK,MANHATTAN,10012.0,40.72933786,-74.0010319,Club/Bar/Restaurant,99
NY,NEW YORK,MANHATTAN,10002.0,40.71892321,-73.98452032,Club/Bar/Restaurant,57
NY,REGO PARK,QUEENS,11374.0,40.73211582,-73.86718968,Club/Bar/Restaurant,20
NY,,BROOKLYN,11225.0,40.66064331,-73.96062997,Club/Bar/Restaurant,162
NY,,BROOKLYN,11238.0,40.67904393,-73.96835251,Club/Bar/Restaurant,11
NY,ASTORIA,QUEENS,11105.0,40.77478495,-73.90877704,Club/Bar/Restaurant,NaN
NY,,BROOKLYN,11204.0,40.61023813,-73.98370275,Club/Bar/Restaurant,22
NY,NEW YORK,MANHATTAN,10014.0,40.72959583,-74.00282511,Club/Bar/Restaurant,25
NY,,BROOKLYN,11231.0,40.68237476,-73.99342718,Club/Bar/Restaurant,11
NY,NEW YORK,MANHATTAN,10012.0,40.7212051,-73.99670626,Club/Bar/Restaurant,NaN
NY,NEW YORK,MANHATTAN,10011.0,40.74173312,-74.00308184,Club/Bar/Restaurant,91
NY,NEW YORK,MANHATTAN,10128.0,40.78124208,-73.95223925,Club/Bar/Restaurant,14
NY,,BROOKLYN,11226.0,40.64018175,-73.95530567,Club/Bar/Restaurant,642
NY,,BROOKLYN,11249.0,40.71976847,-73.96084757,Club/Bar/Restaurant,16
NY,,BROOKLYN,11211.0,40.71134933,-73.95117114,Club/Bar/Restaurant,13
NY,,BROOKLYN,11211.0,40.71352894,-73.95887449,Club/Bar/Restaurant,17
NY,NEW YORK,MANHATTAN,10009.0,40.72630655,-73.98411452,Club/Bar/Restaurant,11
